word,condition,surppress,rate,participant
弁当 [弁当],cue,nothink,5,33
弁当 [みりん],tar,nothink,2,33
弁当 [ランチ],sub,nothink,4,33
幼児 [幼児],cue,nothink,5,33
幼児 [ピアノ],tar,nothink,2,33
幼児 [おしゃぶり],sub,nothink,2,33
新年 [新年],cue,nothink,5,33
新年 [ニュース],tar,nothink,4,33
新年 [モチつき],sub,nothink,3,33
電車 [電車],cue,nothink,5,33
電車 [カップル],tar,nothink,2,33
電車 [レール],sub,nothink,2,33
油絵 [油絵],cue,nothink,4,33
油絵 [ローマ],tar,nothink,4,33
油絵 [デッサン],sub,nothink,4,33
雨雲 [雨雲],cue,nothink,5,33
雨雲 [トラック],tar,nothink,2,33
雨雲 [あられ],sub,nothink,3,33
公園 [公園],cue,nothink,2,33
公園 [マナー],tar,nothink,3,33
公園 [シーソー],sub,nothink,2,33
王様 [王様],cue,nothink,5,33
王様 [カジノ],tar,nothink,3,33
王様 [マント],sub,nothink,4,33
財布 [財布],cue,nothink,5,33
財布 [ワニ],tar,nothink,2,33
財布 [カード],sub,nothink,2,33
浴衣 [浴衣],cue,nothink,3,33
浴衣 [おんぶ],tar,nothink,3,33
浴衣 [うちわ],sub,nothink,4,33
映画 [映画],cue,nothink,3,33
映画 [ムード],tar,nothink,3,33
映画 [フィルム],sub,nothink,3,33
和室 [和室],cue,think,5,33
和室 [ろうそく],tar,think,3,33
和室 [ふすま],sub,think,3,33
坊主 [坊主],cue,think,4,33
坊主 [ほくろ],tar,think,5,33
坊主 [バリカン],sub,think,1,33
手品 [手品],cue,think,3,33
手品 [テーブル],tar,think,5,33
手品 [トリック],sub,think,1,33
地球 [地球],cue,think,3,33
地球 [メートル],tar,think,4,33
地球 [マグマ],sub,think,1,33
餃子 [餃子],cue,think,5,33
餃子 [レンジ],tar,think,4,33
餃子 [にんにく],sub,think,1,33
学校 [学校],cue,think,3,33
学校 [あじさい],tar,think,5,33
学校 [チャイム],sub,think,1,33
郵便 [郵便],cue,think,2,33
郵便 [はさみ],tar,think,5,33
郵便 [ポスト],sub,think,1,33
神社 [神社],cue,think,3,33
神社 [しゃもじ],tar,think,3,33
神社 [おみくじ],sub,think,1,33
缶詰 [缶詰],cue,think,2,33
缶詰 [バナナ],tar,think,5,33
缶詰 [リサイクル],sub,think,1,33
銭湯 [銭湯],cue,think,4,33
銭湯 [バケツ],tar,think,5,33
銭湯 [サウナ],sub,think,1,33
競走 [競走],cue,think,3,33
競走 [うさぎ],tar,think,5,33
競走 [ゼッケン],sub,think,1,33
真夏 [真夏],cue,think,3,33
真夏 [うどん],tar,think,5,33
真夏 [プール],sub,think,1,33
野宿 [野宿],cue,think,4,33
野宿 [カラス],tar,think,5,33
野宿 [テント],sub,think,1,33
