word,condition,surppress,rate,participant
弁当 [弁当],cue,nothink,3,22
弁当 [みりん],tar,nothink,2,22
弁当 [ランチ],sub,nothink,5,22
幼児 [幼児],cue,nothink,3,22
幼児 [ピアノ],tar,nothink,2,22
幼児 [おしゃぶり],sub,nothink,5,22
新年 [新年],cue,nothink,4,22
新年 [ニュース],tar,nothink,3,22
新年 [モチつき],sub,nothink,5,22
電車 [電車],cue,nothink,3,22
電車 [カップル],tar,nothink,1,22
電車 [レール],sub,nothink,5,22
油絵 [油絵],cue,nothink,3,22
油絵 [ローマ],tar,nothink,2,22
油絵 [デッサン],sub,nothink,5,22
雨雲 [雨雲],cue,nothink,2,22
雨雲 [トラック],tar,nothink,2,22
雨雲 [あられ],sub,nothink,5,22
公園 [公園],cue,nothink,5,22
公園 [マナー],tar,nothink,1,22
公園 [シーソー],sub,nothink,5,22
王様 [王様],cue,nothink,5,22
王様 [カジノ],tar,nothink,2,22
王様 [マント],sub,nothink,5,22
財布 [財布],cue,nothink,5,22
財布 [ワニ],tar,nothink,3,22
財布 [カード],sub,nothink,5,22
浴衣 [浴衣],cue,nothink,5,22
浴衣 [おんぶ],tar,nothink,2,22
浴衣 [うちわ],sub,nothink,5,22
映画 [映画],cue,nothink,5,22
映画 [ムード],tar,nothink,2,22
映画 [フィルム],sub,nothink,5,22
和室 [和室],cue,think,4,22
和室 [ろうそく],tar,think,1,22
和室 [ふすま],sub,think,5,22
坊主 [坊主],cue,think,5,22
坊主 [ほくろ],tar,think,5,22
坊主 [バリカン],sub,think,1,22
手品 [手品],cue,think,5,22
手品 [テーブル],tar,think,5,22
手品 [トリック],sub,think,1,22
地球 [地球],cue,think,2,22
地球 [メートル],tar,think,5,22
地球 [マグマ],sub,think,1,22
餃子 [餃子],cue,think,3,22
餃子 [レンジ],tar,think,5,22
餃子 [にんにく],sub,think,1,22
学校 [学校],cue,think,3,22
学校 [あじさい],tar,think,5,22
学校 [チャイム],sub,think,1,22
郵便 [郵便],cue,think,1,22
郵便 [はさみ],tar,think,5,22
郵便 [ポスト],sub,think,3,22
神社 [神社],cue,think,4,22
神社 [しゃもじ],tar,think,5,22
神社 [おみくじ],sub,think,1,22
缶詰 [缶詰],cue,think,3,22
缶詰 [バナナ],tar,think,5,22
缶詰 [リサイクル],sub,think,1,22
銭湯 [銭湯],cue,think,4,22
銭湯 [バケツ],tar,think,5,22
銭湯 [サウナ],sub,think,1,22
競走 [競走],cue,think,2,22
競走 [うさぎ],tar,think,5,22
競走 [ゼッケン],sub,think,1,22
真夏 [真夏],cue,think,5,22
真夏 [うどん],tar,think,5,22
真夏 [プール],sub,think,1,22
野宿 [野宿],cue,think,2,22
野宿 [カラス],tar,think,5,22
野宿 [テント],sub,think,1,22
