participant,ID,substitute,sub_corr,sub_rt
27,25,2.424,1,NA
27,26,1.044,1,NA
27,27,1.378,1,NA
27,28,1.508,1,NA
27,29,NA,0,NA
27,30,1.242,1,NA
27,31,NA,0,NA
27,32,NA,0,NA
27,33,1.73,1,NA
27,34,1.582,1,NA
27,35,2.739,1,NA
27,36,1.396,1,NA
